document_id,domain,doc_name,title,chunk_count,first_chunk_id,created_at_min,created_at_max
doc_a71f81c26a51,textbook,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,2023_无人机系统结构与设计_机械工业出版社_李宏达,118,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0000:5c70dd89e6,2026-06-06 07:24:48,2026-06-06 07:24:48
doc_f6abb38db00e,textbook,无人机理论书籍_2024_无人机技术概论(第2版)_机械工业出版社_贾恒旦.txt,2024_无人机技术概论(第2版)_机械工业出版社_贾恒旦,84,textbook:无人机理论书籍_2024_无人机技术概论_第2版_机械工业出版社_贾恒旦:chunk_0000:ae962170d8,2026-06-06 07:24:48,2026-06-06 07:24:48
