document_id,domain,chunk_id,doc_name,chunk_index,text_chars,created_at
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0024:0f32ef650e,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,24,1176,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0025:0ce3665ade,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,25,1199,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0026:cf309f429b,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,26,1174,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0027:82e744e9a0,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,27,1189,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0028:a426eac79f,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,28,1197,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0029:b22eff51f7,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,29,1194,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0030:650ed3b170,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,30,1193,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0031:a97f775ad5,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,31,462,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0032:d320c7f71e,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,32,1196,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0033:571834bcc5,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,33,1197,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0034:bb47ca9861,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,34,1184,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0035:d42c8f4cc0,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,35,1188,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0036:c217d2f7d5,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,36,1200,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0037:4c3ed1237f,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,37,1199,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0038:916649cfe7,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,38,1185,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0039:c630f18332,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,39,1189,2026-06-06 07:24:48
doc_a71f81c26a51,textbook,textbook:无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达:chunk_0040:65837f11d1,无人机理论书籍_2023_无人机系统结构与设计_机械工业出版社_李宏达.txt,40,1156,2026-06-06 07:24:48
