document_id,domain,chunk_id,doc_name,chunk_index,text_chars,created_at
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_229,政策法规_CCAR-92部.txt,48,199,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_231,政策法规_CCAR-92部.txt,49,213,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_233,政策法规_CCAR-92部.txt,50,128,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_301,政策法规_CCAR-92部.txt,51,424,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_303,政策法规_CCAR-92部.txt,52,195,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_305,政策法规_CCAR-92部.txt,53,647,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_307,政策法规_CCAR-92部.txt,54,136,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_309,政策法规_CCAR-92部.txt,55,271,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_311,政策法规_CCAR-92部.txt,56,474,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_315,政策法规_CCAR-92部.txt,57,354,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_321,政策法规_CCAR-92部.txt,58,90,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_323,政策法规_CCAR-92部.txt,59,360,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_325,政策法规_CCAR-92部.txt,60,121,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_327,政策法规_CCAR-92部.txt,61,310,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_329,政策法规_CCAR-92部.txt,62,742,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_331,政策法规_CCAR-92部.txt,63,115,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_335,政策法规_CCAR-92部.txt,64,371,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_337,政策法规_CCAR-92部.txt,65,386,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_343,政策法规_CCAR-92部.txt,66,673,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_347,政策法规_CCAR-92部.txt,67,100,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_349,政策法规_CCAR-92部.txt,68,504,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_351,政策法规_CCAR-92部.txt,69,85,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_353,政策法规_CCAR-92部.txt,70,289,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_357,政策法规_CCAR-92部.txt,71,658,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_359,政策法规_CCAR-92部.txt,72,248,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_361,政策法规_CCAR-92部.txt,73,117,2026-06-06 07:24:48
doc_116a1bf152e2,regulation,regulation:ccar_92:art_092_363,政策法规_CCAR-92部.txt,74,97,2026-06-06 07:24:48
